height
76.5
68.0
79.0
67.0
68.0
61.0
68.0
71.0
72.0
73.0
63.0
62.0
74.0
70.0
67.0
72.0
64.0
67.0
69.0
67.0
74.5
72.0
66.0
75.0
63.0
64.0
74.0
69.0
66.0
67.0
74.0
61.0
62.0
154.0
66.0
62.5
61.0
63.0
66.0
62.0
70.0
67.0
59.0
62.0
61.0
62.0
60.0
68.0
64.0
69.0
64.0
63.0
74.0
66.0
61.0
67.0
63.0
71.0
74.0
70.0
65.0
62.6
70.0
75.0
66.0
70.0
67.0
64.0
64.0
62.0
66.0
63.0
74.0
74.0
65.0
63.0
73.0
72.0
69.0
74.0
66.0
70.0
64.0
65.0
65.5
73.0
69.0
68.0
65.0
66.0
64.0
67.0
