distance
2175.0
250.0
3000.0
16.0
5.0
2939.9
2900.0
380.0
1500.0
428.0
260.0
480.0
2348.0
2500.0
2165.0
3000.0
3135.0
364.7
5676.0
30.0
10.0
37.0
2500.0
2929.0
7419.0
358.1
2124.0
1483.0
100.0
2100.0
7700.0
350.0
313.0
52.0
2168.0
8313.0
2450.0
8734.0
400.0
2900.0
2174.0
9000.0
765.0
3000.0
366.0
2900.0
40.0
432.0
6500.0
2500.0
1800.0
7835.0
30000.0
1700.0
384.0
3000.0
4.0
3000.0
5654.0
1.2
385.3
3000.0
2846.0
2800.0
5363.0
2851.9
2350.0
130.0
2393.6
16.0
400.0
1707.0
8.0
3039.0
480.0
2.0
360.0
2345.0
1734.0
305.0
360.0
0.0
2937.0
3600.0
750.0
378.0
406.0
10.6
2104.0
10.0
480.0
204.0
