successes
7
5
5
7
4
5
3
4
5
4
6
6
3
6
3
3
4
7
7
4
4
8
5
6
6
7
4
4
6
6
5
7
6
6
7
7
6
7
6
4
9
5
6
4
4
5
5
5
3
4
4
4
4
4
7
3
4
3
6
5
3
8
6
7
6
7
7
4
4
4
6
5
4
7
3
5
4
5
5
5
6
4
7
4
6
6
5
4
6
6
9
8
